,0
0,5.431897992001968
1,5.295962519330126
2,5.159637016346812
3,4.926112359188214
4,4.838735671957841
5,4.711843771249824
6,4.227199146337214
7,4.9075391847194805
8,5.553829630819379
9,5.554305484382545
10,5.578863778207558
11,5.605463978512231
12,4.969422533113206
13,4.72950578185082
14,4.762771825176261
15,4.8672685588356455
16,5.934005679554756
17,5.697760404707192
18,5.555973602490089
19,5.063756913246282
20,6.050841429216394
21,5.159022456100386
22,5.808151372820548
23,7.021040333092049
24,5.784029633554513
25,5.09979216196373
26,6.857742995270351
27,7.032419519722027
28,6.648002845539747
29,6.297908396307076
30,6.337357659786514
31,6.292040661434259
32,5.989857129494192
34,5.400930974294368
35,5.831437321987536
36,5.708780118753613
37,6.048237010176032
38,6.020658330988312
39,5.817749110138247
40,5.868249738594586
41,5.553894953587866
42,5.3703443186847
43,5.390450916447706
44,5.31090220780387
45,12.139714905961187
46,13.181211470887686
47,13.228418269698672
48,13.263912899835908
49,13.06263413803636
50,12.825032728866551
51,11.711802790995344
52,11.698203110215632
53,11.792414423979073
54,10.70806523052143
55,10.213298268993329
56,10.084597351514095
57,6.500790531655632
58,6.3909808436262425
59,5.875488368329287
60,5.561800551637869
61,5.5660701694308665
62,5.476607223364873
63,5.550218105438261
65,5.814657808864203
66,5.013108461316541
67,6.5527915818731595
68,6.052887225976475
69,6.043289030772352
70,5.8932700866571235
71,5.901917645529743
72,6.155078565679658
73,6.109732181049134
74,7.0125118642198325
75,6.903868580476382
76,6.5909656971949175
77,5.530247232599638
78,6.547009836427605
79,6.255181337401136
80,6.890815639237564
81,7.081251104637467
82,6.9608928607694995
83,6.710703379931293
84,6.465586006160803
85,6.604924132093731
86,7.2132001313068175
87,7.083950736792501
88,6.960361833037919
90,6.645364684841392
91,7.194367921841935
92,6.135495881537386
93,7.1057600229052085
94,7.474218904253759
95,7.332663795389005
96,7.206174300755228
97,7.246934367092175
98,7.04419283632212
99,7.035987435935791
100,6.856589963660692
101,6.107165896477008
102,5.565464686169854
104,5.504749505618062
105,5.265186078351837
106,6.2759033578707095
107,5.3205112129654815
108,6.0663997825478
109,11.567537191761469
110,5.7896607255631904
111,6.377319199148333
112,6.453433230559914
113,6.0603445976225006
114,5.903087903756574
115,6.211088513141249
116,6.300766086922191
118,6.186292336520962
119,5.99135589523503
121,5.896123559996211
122,6.42483927203206
123,5.490227260794592
125,6.002008426973986
126,6.0840532054897345
128,5.376959340731477
129,5.8254072646838
130,6.084916644253797
131,6.017076593550169
132,5.159982819864561
133,6.045253477450605
135,6.156696233093874
136,5.212806224542825
137,6.266864392554415
138,6.144728446410057
140,5.247857487283449
142,5.023844192662025
143,5.290239696821327
145,5.152349155000656
147,5.348096049047448
148,5.2880437289011875
150,5.427392625444168
151,5.424439247656421
152,5.012791458906061
153,3.524925222106876
154,5.410375855933384
155,3.4806862021691853
156,4.802047100078616
157,4.328335225644568
158,3.9866991470941517
159,4.254817841394172
160,3.949952573107219
161,5.207804527950285
162,5.328739814172081
163,3.9188557098010808
164,5.265734193110285
165,5.214306482655449
166,5.147029223660653
167,5.355527063682857
168,4.686974755827864
169,4.730262461541765
170,6.467354098628586
172,6.444629403398283
173,6.120191366342391
174,5.705837153490684
175,5.393799111550579
176,6.196677939713785
177,5.61999639462621
178,5.964123872923756
179,5.776841185165959
180,5.694024753771202
181,5.566204216105477
182,5.156298631587478
183,5.002772441560546
184,5.593408484910018
185,5.559974673438483
186,4.877456867202299
187,5.90339195221012
188,5.776770086966328
189,5.115703696212051
190,4.93222251894644
